"ITL3.Region","average_pre_2009","average_post_2009"
"Aberdeen City and Aberdeenshire",0.00848111025443331,0.00173063848198282
"Angus and Dundee City",0.00703794369645043,0.000824402308326463
"Antrim and Newtownabbey",0.00712719298245614,-0.0102115244347192
"Ards and North Down",0.00791139240506329,-0.0153846153846154
"Armagh City, Banbridge and Craigavon",0.00852985449071751,-0.0123839009287926
"Barking & Dagenham and Havering",0.00775324456430137,0.00818728412434438
"Barnet",0.0124043828819516,-0.0038017459870459
"Barnsley, Doncaster and Rotherham",0.00282485875706215,0.00244837998857423
"Bath and North East Somerset, North Somerset and South Gloucestershire",0.00949212251688032,0.0137298362270656
"Bedford",0.0159689253344842,0.0048780487804878
"Belfast",0.00536410923276983,-0.0148001508295626
"Berkshire",0.00124157502660518,0.00875409465717836
"Bexley and Greenwich",0.0105448154657293,0.000758232235701906
"Birmingham",0.0107368138504899,0.007811080835604
"Blackburn with Darwen",0.00390407138873397,0.0152165431135388
"Blackpool",0.0052321778940484,0.0255474452554745
"Bournemouth, Christchurch and Poole",0.00358690778657899,-0.0010126582278481
"Bradford",0.0127928227280279,0.00604500167916713
"Breckland and South Norfolk",0.0186619718309859,0.00943810359964881
"Brent",0.00974745237040319,0.0039068369646882
"Bridgend and Neath Port Talbot",0.00925122867880891,0.00664808063478447
"Brighton and Hove",0.00523127753303965,0.00578703703703704
"Bristol, City of",0.0106459502229895,0.0034453781512605
"Bromley",0.00771315405461747,-0.00401491253226269
"Buckinghamshire CC",0.00228509249183896,0.0135387837534595
"Caithness and Sutherland and Ross and Cromarty",0.0184049079754601,0.00723830734966592
"Calderdale and Kirklees",0.0107943537226681,0.00331966412809998
"Cambridgeshire CC",0.0179622174047693,0.00281006514241921
"Camden and City of London",0.00558223663693632,0.00286236297198538
"Cardiff and Vale of Glamorgan",0.0129183793305931,0.00672971989814478
"Causeway Coast and Glens",0.00813008130081301,-0.013902205177373
"Central Bedfordshire",0.00886001181334909,0.00449967859438611
"Central Hampshire",-0.00377274744784731,0.00982302954704919
"Central Valleys",0.0107843137254902,0.00869565217391304
"Cheshire East",0.00964039785768936,0.00522901132952455
"Cheshire West and Chester",0.0113014303372771,0.0056710775047259
"Chorley and West Lancashire",0.00456447318372005,0.0133788037775446
"City of Edinburgh",0.00671538613470275,0.00350447794403961
"Clackmannanshire and Fife",0.00672645739910314,0.00609508329947176
"Conwy and Denbighshire",0.0125231910946197,0.012588766946417
"Cornwall and Isles of Scilly",0.000535714285714286,0.00459468329504431
"Coventry",0.00850734725444702,0.00628228395923496
"Croydon",0.0117235345581802,-0.003743961352657
"Darlington",0.00889679715302491,0.00867768595041322
"Derby",0.00375146541617819,0.0111501451046281
"Derry City and Strabane",0.0105680317040951,-0.0190514795297933
"Devon CC",0.0105337789932138,0.0126507214864598
"Dudley",0.00764969664996043,0.00639834881320949
"Dumfries and Galloway",0.00706214689265537,0.000933997509339975
"Durham CC",0.0132718894009217,0.00195043597980725
"Ealing",0.0077893175074184,0.000927766732935719
"East Ayrshire and North Ayrshire mainland",0.0075642965204236,0.00407851134335967
"East Cumbria",0.00223325062034739,0.0052531041069723
"East Derbyshire",0.00348027842227378,0.0228272251308901
"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",0.0104592996816735,0.00272149984880556
"East Kent",-0.00106571936056838,0.0110614262179336
"East Lancashire",0.00428211586901763,0.0135874693338366
"East Lothian and Midlothian",0.0082063305978898,0.00116279069767442
"East Merseyside",0.0106847984458475,0.0120730911463998
"East Riding of Yorkshire",-0.000471809389006841,0.00762739370334307
"East Surrey",0.00196304849884527,-0.00073351426685249
"East Sussex CC",0.00196956132497762,0.00379901960784314
"Enfield",0.00996754751970329,-0.00206022187004754
"Essex Haven Gateway",0.0087890625,0.00288071232159225
"Essex Thames Gateway",0.00602668962548429,-0.00153609831029186
"Falkirk",0.00521512385919166,-0.00028169014084507
"Fermanagh and Omagh",0.0102362204724409,-0.0155155155155155
"Flintshire and Wrexham",0.0072855464159812,0.00328785138911721
"Glasgow City",0.00905363853775196,0.00439851616322205
"Gloucestershire",0.00969030969030969,0.0142665773610181
"Greater Manchester North East",0.00737571913261543,0.00707474623192864
"Greater Manchester North West",0.00981132075471698,0.00801096236955834
"Greater Manchester South East",0.00919719407638348,0.00407693915952331
"Greater Manchester South West",0.00590876861262113,0.00565144340919505
"Gwent Valleys",0.0113768961493582,-0.000216825672159584
"Gwynedd",0.0122501611863314,0.000434404865334492
"Hackney and Newham",0.0181758096497026,0.013002600520104
"Haringey and Islington",0.0104823936495013,0.00786108177871641
"Harrow and Hillingdon",0.00748502994011976,-0.00176533635962424
