"ITL3.Region","average_pre_2009","average_post_2009"
"Aberdeen City and Aberdeenshire",0.00318401405357927,0.0356440364785122
"Angus and Dundee City",0.0180288461538462,0.0215769308328292
"Antrim and Newtownabbey",0.0563890325918262,0.0283486888731396
"Ards and North Down",0.0553064275037369,0.0106544901065449
"Armagh City, Banbridge and Craigavon",0.0523062291963861,0.023283943150892
"Barking & Dagenham and Havering",0.0259399113446068,0.0664039173533978
"Barnet",0.0665766113469703,0.0355784899511135
"Barnsley, Doncaster and Rotherham",0.0136986301369863,0.0406357657375509
"Bath and North East Somerset, North Somerset and South Gloucestershire",0.0445067788686302,0.0456548563370351
"Bedford",0.0507988529291274,0.00712250712250712
"Belfast",0.0601894286587229,-0.0131805157593123
"Berkshire",0.0696753434264263,0.0204691303385705
"Bexley and Greenwich",0.0553878659824932,0.0509868421052632
"Birmingham",0.0293121417404898,0.0320879120879121
"Blackburn with Darwen",0.0344641895530425,0.0482733011511326
"Blackpool",0.0285895806861499,0.0584192439862543
"Bournemouth, Christchurch and Poole",0.0540082001979358,0.0208230044620724
"Bradford",0.0519766892424004,0.0142352681527257
"Breckland and South Norfolk",0.0580431177446103,0.0337221633085896
"Brent",0.0740512820512821,0.0400980816385403
"Bridgend and Neath Port Talbot",0.0198356474922074,0.0664664664664665
"Brighton and Hove",0.0519446619681545,0.0215175537938845
"Bristol, City of",0.0399171270718232,0.0411731528482797
"Bromley",0.0592272994704844,0.0289612921191869
"Buckinghamshire CC",0.0457896376284913,0.0245165997811018
"Caithness and Sutherland and Ross and Cromarty",0.0507487520798669,0.0201854882705947
"Calderdale and Kirklees",0.0445590374190136,0.0255922367044049
"Cambridgeshire CC",0.0494554018251398,0.0436110432445639
"Camden and City of London",0.0155348151786811,0.0455153170958554
"Cardiff and Vale of Glamorgan",0.055070051324733,0.0101719326672068
"Causeway Coast and Glens",0.0623700623700624,0.0279589934762349
"Central Bedfordshire",0.040249433106576,0.0395143033545997
"Central Hampshire",0.020221787345075,0.0518885357380442
"Central Valleys",0.0204865556978233,0.0593047034764826
"Cheshire East",0.0452885317750183,0.0489916198544986
"Cheshire West and Chester",0.0670510708401977,0.0402347918890075
"Chorley and West Lancashire",0.033811098860713,0.0446115288220551
"City of Edinburgh",0.00667059054345694,-0.00683281993839261
"Clackmannanshire and Fife",0.022903804023103,0.0180875116371858
"Conwy and Denbighshire",0.0226654578422484,0.0384854127870888
"Cornwall and Isles of Scilly",0.0346491984140665,0.0295148104894362
"Coventry",0.0210107893242476,0.0533897185146029
"Croydon",0.0430341594105827,0.00516640634386639
"Darlington",0.0169096209912536,0.0331602077506992
"Derby",0.0551617190961453,0.0244374906869319
"Derry City and Strabane",0.0483972344437461,-0.00570729718711782
"Devon CC",0.0480185131617009,0.039977228161174
"Dorset",0.0535524920466596,0.00342817963661296
"Dudley",0.0358596134282808,0.0383088527193331
"Dumfries and Galloway",0.0319051959890611,-0.006265664160401
"Durham CC",0.0502450980392157,0.0180261378999549
"Ealing",0.0643761929550581,0.0371362940275651
"East Ayrshire and North Ayrshire mainland",0.0357403355215171,0.0204744069912609
"East Cumbria",0.0270400772573636,0.0210378681626928
"East Derbyshire",0.0284587207664131,0.0457633892885691
"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",0.0325560932688077,0.00928699820251648
"East Kent",0.034636488340192,0.0452758117065498
"East Lancashire",0.0491017964071856,0.0474564084127269
"East Lothian and Midlothian",0.0312322544009086,0.0286144578313253
"East Merseyside",0.0492535016161305,0.0529460238978162
"East Riding of Yorkshire",0.00258823529411765,-0.00752125572269457
"East Surrey",0.0455196737573019,0.0268398886430152
"East Sussex CC",0.0532293609086286,0.0340909090909091
"Enfield",0.0597210113339146,0.0546816479400749
"Essex Haven Gateway",0.0168970814132104,0.0469237489080245
"Essex Thames Gateway",0.013797495223944,0.0595203698353077
"Falkirk",-0.00217770034843206,0.000844356881508584
"Fermanagh and Omagh",0.0536512667660209,0.000500250125062531
"Flintshire and Wrexham",0.016412390198798,0.0529347656858166
"Glasgow City",0.027736256435808,-0.0176346869438602
"Gloucestershire",0.0350877192982456,0.0565560821484992
"Greater Manchester North East",0.0481606290367874,0.0225496091401082
"Greater Manchester North West",0.041383301982347,0.0218579234972678
"Greater Manchester South East",0.0493479549496147,0.0103455410717981
"Greater Manchester South West",0.039718565592374,0.0140060240963855
"Gwent Valleys",0.0126728110599078,0.0387661525635682
"Gwynedd",0.00513149454778704,0.00561555075593952
"Hackney and Newham",0.0564390396008731,0.0560800604229607
"Haringey and Islington",0.0513612666537942,0.04563014388892
"Harrow and Hillingdon",0.0533774208786018,0.0465857177206059
"Hartlepool and Stockton-on-Tees",0.0472618154538635,0.0113133300541072
"Heart of Essex",0.0105137869470343,0.0283353010625738
"Herefordshire, County of",0.0533596837944664,0.022303696914146
"Hertfordshire",0.0612149750571122,-0.00131578947368421
"Hounslow and Richmond upon Thames",0.0669532607701454,0.033849017098988
"Inverclyde, East Renfrewshire and Renfrewshire",0.00340290381125227,0.00539568345323741
"Inverness and Nairn and Moray, Badenoch and Strathspey",0.0381451009723261,0.0566079295154185
"Isle of Anglesey",0.00882352941176471,0.00314795383001049
"Isle of Wight",0.0391246684350133,0.0445609436435125
"Kensington & Chelsea and Hammersmith & Fulham",0.073406088454911,0.0314797630094939
"Kent Thames Gateway",0.0352805089647195,0.0494773519163763
"Kingston upon Hull, City of",0.0259703196347032,-0.0317763500607744
"Lambeth",0.064340239912759,0.0752740323988748
"Lancaster and Wyre",0.0318404478656403,0.0179955011247188
"Leeds",0.0578360840739173,0.020093436748764
"Leicester",0.030908668370904,0.0517166449369839
"Leicestershire CC and Rutland",0.0262464630695678,0.0434970651838122
"Lewisham and Southwark",0.061047099252072,0.0594566888774987
"Lincolnshire",0.0227771996762632,0.0362854556427278
"Lisburn and Castlereagh",0.0571102227298686,0.015678776290631
"Liverpool",0.0504499188670895,0.0174647425385372
"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",0.0682471264367816,-0.00367647058823529
"Luton",0.0372688477951636,0.0222133279967981
"Manchester",0.0441445098437183,0.0319912698868531
"Medway",0.0317513368983957,0.051809034467994
"Merton, Kingston upon Thames and Sutton",0.0618117598171619,0.0272243346007605
"Mid and East Antrim",0.0470383275261324,-0.0196923076923077
"Mid Kent",0.0345927379784102,0.049597423510467
"Mid Lancashire",0.0498869062578537,0.021856449001619
"Mid Ulster",0.0646347871781398,0.0520043336944745
"Milton Keynes",0.0400274866861364,0.0498875923348678
"Monmouthshire and Newport",0.0417478430281102,0.033718689788054
"Na h-Eileanan Siar",0.0670731707317073,0.0440366972477064
"Newry, Mourne and Down",0.0624624624624625,0.0120999219359875
"North and North East Lincolnshire",0.00890143291359097,0.0316600114090131
"North and West Norfolk",0.0346246143297909,0.0270333255651363
"North Hampshire",0.0275108595498223,0.047897946084724
"North Lanarkshire",0.0195145168967158,0.0196943437844651
"North Northamptonshire",0.0288438617401669,0.0553729871837003
"North Nottinghamshire",0.0377233620119126,0.0349750178443969
"North Yorkshire CC",0.0254672897196262,0.0122121966397013
"Northumberland",0.0113250283125708,0.0350535540408958
"Norwich and East Norfolk",0.0384534566085312,0.0222844772698332
"Nottingham",0.0427923486491816,0.0416716275747113
"Orkney Islands",0.0600600600600601,0.0304054054054054
"Oxfordshire",0.0463098134630981,0.0434162138426917
"Perth and Kinross and Stirling",-0.00636773680021226,-0.0157561226237369
"Peterborough",0.0308641975308642,0.0391812865497076
"Plymouth",0.051143583227446,0.0457072266831377
"Portsmouth",0.0326301911667765,0.0378623545651745
"Powys",0.0334224598930481,0.0293282876064333
"Redbridge and Waltham Forest",0.056745182012848,0.0391423585140863
"Sandwell",0.0157684160979054,0.022455365359838
"Scottish Borders",0.0027681660899654,0.0199513381995134
"Sefton",0.0653901734104046,0.0357731230877854
"Sheffield",0.010443864229765,0.0257811166126003
"Shetland Islands",0.0344827586206897,0.00428571428571429
"Shropshire CC",0.0208709095593919,0.0300818796724813
"Solihull",0.0180774138664398,0.0846311153059619
"Somerset",0.0686055182699478,0.0459815546772069
